Word,Class Group,Difficulty,Category,Action Taken
eloquent,Class VI-X,Master,Communication,Replaced with new entry
resilient,Class VI-X,Master,Character Traits,Replaced with new entry
phenomenon,Class VI-X,Prodigy,Science,Replaced with new entry
meticulous,Class VI-X,Prodigy,Character Traits,Replaced with new entry
ambiguous,Class VI-X,Prodigy,Language,Replaced with new entry
benevolent,Class VI-X,Wizard,Character Traits,Replaced with new entry
juxtapose,Class VI-X,Wizard,Art,Replaced with new entry
ephemeral,Class VI-X,Wizard,Descriptions,Replaced with new entry
pragmatic,Class VI-X,Wizard,Character Traits,Replaced with new entry
ubiquitous,Class VI-X,Wizard,Technology,Replaced with new entry
diligent,Class VI-X,Wizard,Character Traits,Replaced with new entry
